"category_name","Name","Link","Pieces","Set","year"
"Town","Formula 1 Racing Car","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2886-1",25," Town: Classic Town: Race","1997"
"Town","Petrol Station Attendant and Pump","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2887-1",11," Town: Classic Town: Gas Station","1997"
"Town","Airline Promotional Set","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2928-1",133," Town: City: Airport","2006"
"Town","Airline Promotional Set - ANA Limited Edition","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2928-2",134," Town: City: Airport","2008"
"Town","Res-Q Lifeguard (Life Guard Res-Q)","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2962-1",60," Town: Res-Q","1998"
"Town","Extreme Racer","https://www.bricklink.com/v2/catalog/catalogitem.page?S=2963-1",79," Town: Extreme Team","1998"
"Town","Go-Kart","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3056-1",18," Town: Classic Town: Race","1998"
"Town","Busy City - Master Builders (Masterbuilders)","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3058-1",73," Town: Town Jr.: Construction","2000"
"Town","Mars Mission - Master Builders (Masterbuilders)","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3059-1",85," Town: Space Port","2000"
"Town","Cosmos Glider","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3066-1",14," Town: Space Port","1999"
"Town","Test Shuttle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3067-1",17," Town: Space Port","1999"
"Town","Radar Buggy","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3068-1",21," Town: Space Port","1999"
"Town","Cosmic Wing","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3069-1",18," Town: Space Port","1999"
"Town","Small Car","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3177-1",39," Town: City: Traffic","2010"
"Town","Seaplane","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3178-1",98," Town: City: Harbor","2010"
"Town","Repair Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3179-1",114," Town: City: Traffic","2010"
"Town","Tank Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3180-1",218," Town: City: Gas Station","2010"
"Town","Passenger Plane","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3181-1",297," Town: City: Airport","2010"
"Town","Passenger Plane -  ANA Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3181-2",298," Town: City: Airport","2010"
"Town","Airport","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3182-1",683," Town: City: Airport","2010"
"Town","LEGO Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3221-1",270," Town: City: Traffic","2010"
"Town","Helicopter and Limousine","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3222-1",251," Town: City: Airport","2010"
"Town","City #1 - Mini Heroes Collection","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3350-1",8," Town","2000"
"Town","City #2 - Mini Heroes Collection","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3351-1",9," Town","2000"
"Town","Space Moon Buggy","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3365-1",33," Town: City: Space Exploration","2011"
"Town","Satellite Launch Pad","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3366-1",161," Town: City: Space Exploration","2011"
"Town","Space Shuttle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3367-1",226," Town: City: Space Exploration","2011"
"Town","Space Center","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3368-1",478," Town: City: Space Exploration","2011"
"Town","Chef, Chupa Chups Promotional polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3383-1",2," Town: World City: Food & Drink","2003"
"Town","McDonald's Restaurant","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3438-1",82," Town: Classic Town: Food & Drink","1999"
"Town","Spy Runner","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3439-1",104," Town: Classic Town: Airport","2000"
"Town","Legoland California Truck, Limited Edition","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3442-1",102," Town: Classic Town: Traffic","1998"
"Town","Police Chase","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3648-1",160," Town: City: Police","2011"
"Town","Police Helicopter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3658-1",220," Town: City: Police","2011"
"Town","Bank & Money Transfer","https://www.bricklink.com/v2/catalog/catalogitem.page?S=3661-1",388," Town: City: Police","2011"
"Town","Passenger Plane - LEGO Air Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-1",2," Town: World City: Airport","2004"
"Town","Passenger Plane - SAS Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-2",2," Town: World City: Airport","2004"
"Town","Passenger Plane - EL AL Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-3",2," Town: World City: Airport","2004"
"Town","Passenger Plane - Iberia Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-4",2," Town: World City: Airport","2004"
"Town","Passenger Plane - JAL Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-5",2," Town: World City: Airport","2004"
"Town","Passenger Plane - Lauda Air Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-6",2," Town: World City: Airport","2004"
"Town","Passenger Plane - ANA Air Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-7",2," Town: World City: Airport","2004"
"Town","Passenger Plane - SWISS Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-8",2," Town: World City: Airport","2005"
"Town","Passenger Plane - Snowflake Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-9",2," Town: World City: Airport","2004"
"Town","Passenger Plane - Austrian Air Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-10",2," Town: World City: Airport","2004"
"Town","Passenger Plane - KLM Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-11",2," Town: World City: Airport","2006"
"Town","Passenger Plane - Malaysian Air Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-12",2," Town: World City: Airport","2005"
"Town","Passenger Plane - Aeroflot Version","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-13",2," Town: World City: Airport","2006"
"Town","Passenger Plane {Generic Entry without Sticker Sheets}","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4032-14",143," Town: World City: Airport","2004"
"Town","Mining 4 x 4","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4200-1",97," Town: City: Construction","2012"
"Town","Loader and Dump Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4201-1",129," Town: City: Construction","2012"
"Town","Mining Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4202-1",264," Town: City: Construction","2012"
"Town","Excavator Transport","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4203-1",296," Town: City: Construction","2012"
"Town","The Mine","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4204-1",728," Town: City: Construction","2012"
"Town","Off-road Command Center","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4205-1",389," Town: City: Police","2012"
"Town","Recycling Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4206-2",285," Town: City: Traffic","2012"
"Town","City Garage","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4207-1",913," Town: City: Traffic","2012"
"Town","4 × 4 Fire Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4208-1",239," Town: City: Fire","2012"
"Town","Fire Plane","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4209-1",508," Town: City: Fire","2012"
"Town","Coast Guard Platform","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4210-1",450," Town: City: Coast Guard","2008"
"Town","Chopper Cop","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4304-1",19," Town: Town Jr.: Police","1998"
"Town","Fire ATV","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4427-1",43," Town: City: Fire","2012"
"Town","Helicopter Rescue","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4429-1",408," Town: City: Hospital","2012"
"Town","Fire Transporter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4430-1",507," Town: City: Fire","2012"
"Town","Ambulance","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4431-1",187," Town: City: Hospital","2012"
"Town","Garbage Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4432-1",200," Town: City: Traffic","2012"
"Town","Dirt Bike Transporter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4433-1",193," Town: City: Off-Road","2012"
"Town","Tipper Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4434-1",214," Town: City: Construction","2012"
"Town","Car and Caravan","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4435-1",210," Town: City: Recreation","2012"
"Town","Patrol Car","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4436-1",89," Town: City: Police","2012"
"Town","Police Pursuit","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4437-1",120," Town: City: Police","2012"
"Town","Robber's Hideout","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4438-1",300," Town: City: Police","2012"
"Town","Heavy-Duty Helicopter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=4439-1",377," Town: City: Police","2012"
